client_id,client_type,gender,country,region,age,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,total_spend,units_bought,avg_area_sqft,cluster_id,segment
C0001,Individual,F,Usa,California,55,Home,4,Yes,Website,1246764.72,4,983.885,1,C1 — Global Investors
C0002,Individual,M,Usa,California,61,Home,1,No,Website,1841095.9300000002,5,1187.942,2,C1 — Global Investors
C0003,Individual,M,Usa,California,64,Home,4,Yes,Agency,1661457.5899999999,5,1058.1100000000001,2,C1 — Global Investors
C0004,Individual,M,Usa,California,64,Home,5,No,Website,1608263.51,6,937.1033333333334,2,C1 — Global Investors
C0005,Company,M,Usa,California,47,Investment,5,No,Website,3653385.38,13,927.2961538461539,2,C1 — Global Investors
C0006,Individual,M,Usa,California,66,Home,3,Yes,Website,1514131.06,5,989.5899999999999,2,C1 — Global Investors
C0007,Individual,M,Canada,Quebec,76,Investment,5,No,Website,3251147.83,11,995.6936363636363,2,C1 — Global Investors
C0008,Individual,F,Usa,California,54,Home,5,No,Website,1476730.4100000001,5,1031.106,2,C1 — Global Investors
C0009,Individual,M,Usa,California,48,Investment,5,No,Agency,1820832.35,5,1305.644,2,C1 — Global Investors
C0010,Individual,M,Usa,Oregon,57,Investment,3,No,Agency,1732434.0,5,1140.206,2,C1 — Global Investors
C0011,Individual,F,Usa,California,67,Home,2,Yes,Website,1325211.52,5,935.914,0,C1 — Global Investors
C0012,Company,M,Usa,California,48,Investment,5,No,Website,1599526.4,4,1317.445,3,C3 — Corporate Buyers
C0013,Individual,M,Usa,California,61,Home,1,Yes,Website,2142750.89,5,1407.376,2,C1 — Global Investors
C0014,Company,M,Usa,California,43,Home,3,Yes,Website,1548140.0699999998,4,1280.5425,3,C3 — Corporate Buyers
C0015,Individual,F,Usa,California,82,Home,5,No,Client,1585907.37,5,1030.764,2,C1 — Global Investors
C0016,Individual,F,Usa,California,84,Investment,5,No,Website,1010217.73,4,842.145,1,C1 — Global Investors
C0017,Individual,M,Usa,Arizona,46,Home,3,No,Client,1778693.75,5,1195.8139999999999,2,C1 — Global Investors
C0018,Individual,M,Usa,California,56,Home,2,Yes,Agency,1061478.67,4,913.8325,1,C1 — Global Investors
C0019,Individual,M,Usa,California,66,Home,5,Yes,Client,1773474.26,4,1402.0425,2,C1 — Global Investors
C0020,Individual,F,Usa,California,56,Home,5,No,Website,1508032.25,4,1307.08,2,C1 — Global Investors
C0021,Individual,M,Usa,Oregon,85,Investment,3,No,Website,1928172.72,6,1028.86,2,C1 — Global Investors
C0022,Individual,M,Germany,Berlin,57,Investment,5,No,Agency,1372403.2,4,1247.4850000000001,1,C1 — Global Investors
C0023,Individual,M,Usa,California,65,Home,3,Yes,Website,1457871.69,5,948.3880000000001,2,C1 — Global Investors
C0024,Individual,M,Usa,California,60,Investment,4,No,Website,1884156.9000000001,6,1053.735,2,C1 — Global Investors
C0025,Individual,M,Usa,Nevada,86,Home,2,Yes,Website,1694448.83,5,1120.576,2,C1 — Global Investors
C0026,Individual,M,Usa,California,61,Investment,5,No,Website,2932241.75,10,1002.383,2,C1 — Global Investors
C0027,Individual,M,Usa,California,55,Home,5,Yes,Website,1517969.44,5,1070.234,2,C1 — Global Investors
C0028,Individual,F,Usa,California,65,Home,3,No,Client,1791082.79,5,1266.366,2,C1 — Global Investors
C0029,Individual,F,Usa,Colorado,47,Home,4,Yes,Agency,1247795.31,4,993.05,0,C1 — Global Investors
C0030,Individual,F,Usa,Nevada,71,Home,3,No,Website,1547311.29,4,1279.3725,2,C1 — Global Investors
C0031,Individual,M,Usa,Nevada,46,Home,4,Yes,Website,1077148.21,5,677.3399999999999,0,C1 — Global Investors
C0032,Individual,M,Usa,California,57,Home,4,No,Website,1888995.1600000001,5,1282.528,2,C1 — Global Investors
C0033,Individual,F,Usa,California,55,Home,3,Yes,Website,1404998.67,4,1250.4325,0,C1 — Global Investors
C0034,Individual,F,Belgium,Brussels,54,Home,2,No,Agency,1632608.66,5,1160.556,2,C1 — Global Investors
C0035,Individual,M,Mexico,Mexico City,58,Home,3,No,Agency,1987876.4,5,1445.752,2,C1 — Global Investors
C0036,Individual,M,Usa,California,50,Home,4,No,Website,1173683.53,4,963.325,1,C1 — Global Investors
C0037,Individual,F,Usa,California,61,Home,5,Yes,Website,1607228.75,5,1018.368,2,C1 — Global Investors
C0038,Individual,F,Usa,California,49,Investment,4,No,Client,1175129.27,4,1105.1225,0,C1 — Global Investors
C0039,Individual,F,Russia,Krasnodar Krai,56,Home,1,No,Agency,1858527.54,4,1365.68,2,C1 — Global Investors
C0040,Individual,M,Usa,Nevada,48,Home,5,No,Website,1854608.29,6,1047.8,2,C1 — Global Investors
C0041,Individual,M,Usa,Arizona,56,Home,1,Yes,Website,1374460.79,5,872.838,0,C1 — Global Investors
C0042,Individual,F,Usa,Utah,48,Home,1,Yes,Website,1101390.25,4,913.8425,0,C1 — Global Investors
C0043,Individual,M,Usa,Nevada,58,Investment,3,Yes,Website,1126492.46,4,983.505,1,C1 — Global Investors
C0044,Individual,F,Usa,Arizona,92,Home,3,No,Website,1330493.26,4,1106.8675,1,C1 — Global Investors
C0045,Individual,M,Usa,Colorado,55,Investment,2,No,Agency,1463432.3599999999,5,913.774,1,C1 — Global Investors
C0046,Individual,F,Usa,California,59,Home,5,No,Client,2026517.4,8,857.8050000000001,2,C1 — Global Investors
C0047,Individual,M,Usa,Colorado,53,Home,2,No,Agency,1438239.28,5,953.568,1,C1 — Global Investors
C0048,Individual,M,Usa,California,66,Home,3,Yes,Agency,1338718.0,4,1026.3200000000002,1,C1 — Global Investors
C0049,Individual,F,Usa,California,52,Home,1,No,Website,1390091.2,4,1204.3675,1,C1 — Global Investors
C0050,Individual,M,Usa,California,83,Home,5,No,Website,2744452.35,9,993.5088888888889,2,C1 — Global Investors
C0051,Individual,F,Usa,Colorado,82,Home,3,No,Agency,1270440.42,4,1039.56,1,C1 — Global Investors
C0052,Individual,F,Usa,Oregon,56,Investment,2,No,Client,1474211.53,4,1187.925,1,C1 — Global Investors
C0053,Individual,M,Usa,Arizona,69,Home,4,No,Agency,1120539.44,4,929.245,1,C1 — Global Investors
C0054,Company,M,Usa,Nevada,56,Investment,5,No,Website,2109277.6,6,1115.6333333333334,3,C3 — Corporate Buyers
C0055,Individual,F,Usa,California,50,Home,5,Yes,Agency,1178979.21,4,989.8299999999999,1,C1 — Global Investors
C0056,Individual,M,Usa,Oregon,59,Investment,5,No,Agency,1579301.3599999999,4,1355.5975,2,C1 — Global Investors
C0057,Individual,M,Usa,California,90,Home,4,Yes,Agency,2020519.52,5,1344.1439999999998,2,C1 — Global Investors
C0058,Company,F,Usa,California,54,Investment,1,Yes,Website,1441406.17,5,919.8399999999999,3,C3 — Corporate Buyers
C0059,Individual,M,Usa,California,63,Home,2,No,Website,1278854.25,4,1102.44,0,C1 — Global Investors
C0060,Individual,F,Usa,California,51,Home,5,No,Website,1355662.25,4,1119.4675,1,C1 — Global Investors
C0061,Individual,M,Usa,Utah,56,Home,5,No,Agency,1306907.58,4,1101.62,1,C1 — Global Investors
C0062,Individual,M,Usa,California,49,Home,5,Yes,Client,1489333.49,5,1059.8319999999999,2,C1 — Global Investors
C0063,Individual,F,Usa,Arizona,81,Home,4,No,Website,1625480.88,5,1112.538,2,C1 — Global Investors
C0064,Individual,M,Uk,Northern Ireland,49,Investment,4,No,Agency,1448881.28,4,1095.85,1,C1 — Global Investors
C0065,Individual,M,Usa,California,51,Home,1,No,Agency,1557125.73,4,1261.5275,2,C1 — Global Investors
C0066,Individual,F,Usa,California,49,Investment,3,No,Client,1107164.17,4,932.7550000000001,0,C1 — Global Investors
C0067,Individual,M,Usa,California,46,Home,2,No,Website,1431941.84,5,851.818,0,C1 — Global Investors
C0068,Individual,F,Usa,Colorado,57,Home,5,Yes,Agency,1572779.33,4,1450.2925,2,C1 — Global Investors
C0069,Individual,M,Usa,California,53,Investment,4,No,Website,1439142.47,5,957.588,1,C1 — Global Investors
C0070,Individual,F,Usa,Arizona,76,Home,4,Yes,Website,1521570.62,5,1039.274,2,C1 — Global Investors
C0071,Individual,M,Usa,California,38,Home,1,Yes,Client,1150384.09,5,833.3799999999999,1,C1 — Global Investors
C0072,Individual,M,Usa,Nevada,70,Investment,2,No,Website,2246488.58,6,1129.4916666666666,2,C1 — Global Investors
C0073,Individual,F,Denmark,Capital Region,58,Investment,1,No,Agency,1413902.33,4,1194.0325,1,C1 — Global Investors
C0074,Individual,F,Usa,Oregon,64,Investment,5,No,Client,1709458.65,5,1138.044,2,C1 — Global Investors
C0075,Individual,F,Usa,California,53,Home,3,No,Website,1269395.74,4,1048.3425,0,C1 — Global Investors
C0076,Individual,M,Usa,California,67,Home,5,No,Agency,1905852.0899999999,6,1067.28,2,C1 — Global Investors
C0077,Individual,M,Usa,California,43,Home,5,No,Website,1880012.18,5,1191.826,2,C1 — Global Investors
C0078,Individual,F,Usa,California,75,Home,5,No,Website,1685882.3900000001,4,1415.63,2,C1 — Global Investors
C0079,Individual,M,Belgium,Brussels,69,Investment,4,No,Website,1456436.3,4,1219.0675,0,C1 — Global Investors
C0080,Individual,F,Usa,California,74,Investment,3,No,Website,1427531.56,5,965.024,1,C1 — Global Investors
C0081,Individual,F,Usa,California,80,Home,4,Yes,Website,1522144.26,4,1252.745,2,C1 — Global Investors
